,osmid
1787,101439233
1788,42813612
1789,42813612
1790,170741585
1791,170741585
1792,103886116
1793,103886116
1794,38311273
1795,58378297
1796,160141121
1797,160141122
1798,54965828
1799,54965829
1800,101439250
1801,29401317
1802,29401317
1803,54965829
1804,101439254
1805,40995288
1806,40995288
1807,159716451
1808,159716451
1809,173292470
1810,173292470
1811,170741585
1812,170741585
1813,103886116
1814,103886116
1815,551180073
1816,173277192
1817,173277192
1818,681124241
1819,828282358
1820,26003355
1821,31767394
1822,31767394
1823,160141121
1824,160141121
1825,42813632
1826,42813632
1827,25921254
1828,25921254
1829,170741585
1830,170741585
1831,160141121
1832,160141121
1833,162843073
1834,162843073
1835,40394328
1836,40394328
1837,42813635
1838,42813635
1839,462710418
1840,462710418
1841,405593990
1842,650279904
1843,215887775
1844,215887775
1845,160141121
1846,160141121
1847,405593992
1848,413094497
1849,216987193
1850,216987193
1851,405593992
1852,405593992
1853,28120042
1854,28120042
1855,92456143
1856,92456143
1857,215887777
1858,215887777
1859,216987195
1860,688721095
1861,702219979
1862,702219979
1863,160141121
1864,160141121
1865,170741585
1866,170741585
1867,62456951
1868,62456951
1869,25713535
1870,25713536
1871,25713536
1872,62456951
1873,62456951
1874,25713536
1875,25713536
1876,630925379
1877,630925379
1878,173292450
1879,173292450
1880,157917783
1881,157917783
1882,173292450
1883,173292450
1884,65659633
1885,160141120
1886,160141121
1887,82749523
1888,40394329
1889,40394329
1890,103886116
1891,103886116
1892,163415577
1893,163415577
1894,40348378
1895,40348378
1896,40394329
1897,40995288
1898,639542117
1899,107468962
1900,107468962
1901,170741585
1902,170741585
1903,26003355
1904,31767308
1905,31767308
1906,29597695
1907,29597695
1908,102453729
1909,102453729
1910,159716451
1911,159716451
1912,300856026
1913,484939742
1914,484939742
1915,80026888
1916,80026888
1917,37370184
1918,37370184
1919,37370184
1920,37370184
1921,37370184
1922,103886116
1923,103886116
1924,108352259
1925,108352260
1926,31767308
1927,31767308
1928,304948516
1929,304948516
1930,33280420
1931,33280420
1932,27856186
1933,27856186
1934,170741585
1935,170741585
1936,25022494
1937,25022494
1938,390517508
1939,390517508
1940,31767394
1941,31767394
1942,27856170
1943,27856170
1944,129704683
1945,129704683
1946,163415577
1947,163415577
1948,129691847
1949,129691847
1950,33280420
1951,33280420
1952,27856179
1953,27856179
1954,33280385
1955,33280385
1956,300178285
1957,300178285
1958,31767394
1959,31767394
1960,163415573
1961,163415577
1962,103886116
1963,103886116
1964,103886116
1965,103886116
1966,552853688
1967,552853688
1968,552853688
1969,552853688
1970,24193284
1971,24193284
1972,435966749
1973,723009830
1974,651561671
1975,173297625
1976,214333542
1977,214333542
1978,220332036
1979,42813612
1980,42813612
1981,38311274
1982,38311274
1983,27014830
1984,42813632
1985,42813632
1986,38311274
1987,38311274
1988,29597889
1989,29597889
1990,25021235
1991,103886116
1992,170741585
1993,170741585
1994,170741585
1995,159716451
1996,159716451
1997,102453708
1998,102453708
1999,42813637
2000,28238558
2001,148642126
2002,331111564
2003,38311274
2004,38311274
2005,163415573
2006,163415573
2007,42813632
2008,42813632
2009,103886116
2010,103886116
2011,148642128
2012,170741585
2013,170741585
2014,170741585
2015,170741585
2016,553153644
2017,553153644
2018,31767390
2019,31767390
2020,31767045
2021,31767045
2022,31767394
2023,31767394
2024,148642126
2025,148642128
2026,148642128
2027,26372275
2028,829390854
2029,113273633
2030,113273633
2031,113273633
2032,113273633
2033,113273620
2034,113273620
2035,43928386
2036,248992712
2037,248992712
2038,682045122
2039,553153643
2040,553153643
2041,170741585
2042,170741585
2043,102453729
2044,102453729
2045,42813612
2046,102453729
2047,170741585
2048,170741585
2049,163415573
2050,163415573
2051,26303566
2052,31767308
2053,31767308
2054,31767308
2055,484939742
2056,148642126
2057,148642126
2058,42813612
2059,42813612
2060,624082396
2061,624082396
2062,553153643
2063,553153643
2064,31767336
2065,31767336
2066,42813632
2067,484943468
2068,71393476
2069,71393476
2070,170741585
2071,170741585
2072,110464881
2073,110464882
2074,25179133
2075,25179133
2076,454743457
2077,454743457
2078,162843073
2079,162843073
2080,163415573
2081,163415573
2082,345738513
2083,345738513
2084,31876418
2085,26258981
2086,26258981
2087,80719681
2088,80719681
2089,169132086
2090,169132086
2091,110846972
2092,110846972
2093,561541693
2094,561541693
2095,80719674
2096,80719674
2097,780899054
2098,780899054
2099,553153643
2100,553153643
2101,80719676
2102,80719676
2103,31876418
2104,31876418
2105,233959476
2106,80719681
2107,80719681
2108,110846967
2109,110846967
2110,80719674
2111,80719674
2112,110846972
2113,292261820
2114,24526223
2115,80719674
2116,80719674
2117,80719676
2118,80719676
2119,80719679
2120,80719679
2121,110846972
2122,561541693
2123,561541693
2124,561541693
2125,561541693
2126,82964327
2127,82964327
2128,110846966
2129,148642118
2130,148642118
2131,110846972
2132,110846972
2133,43928387
2134,110464881
2135,80719682
2136,80719682
2137,22690772
